model,f1,precision,recall,roc_auc,pr_auc,tp,fp,tn,fn
baseline,0.0,0.0,0.0,0.22593767734612805,0.10231319805474293,0,0,994,195
logistic,0.0862533692722372,0.09090909090909091,0.08205128205128205,0.5674508590001548,0.16682365728559911,16,160,834,179
xgboost,0.5151953690303908,0.3588709677419355,0.9128205128205128,0.8761569416498994,0.46809165326970925,178,318,676,17
xgboost_calibrated,0.46564885496183206,0.3096446700507614,0.9384615384615385,0.8583604189237992,0.43422511803206776,183,408,586,12
